time,temp
100.75,22.3566289266
101,22.3566289266
101.25,22.3566289266
101.5,22.3566289266
101.75,22.3566289266
102,22.3566289266
102.25,22.3566289266
102.5,22.3566289266
102.75,22.3333133343
103,22.3566289266
103.25,22.3566289266
103.5,22.3333133343
103.75,22.502312186
104,23.2021872777
104.25,24.0706867043
104.5,24.9118810363
104.75,25.6582976805
105,26.355361021
105.25,27.0294671642
105.5,27.6068372613
105.75,28.1121157685
106,28.6193835763
106.25,29.0777925151
106.5,29.4653735015
106.75,29.827172232
107,30.16751822
107.25,30.4585573329
107.5,30.7499491157
107.75,30.9933055412
108,31.2119727962
108.25,31.4323400494
108.5,31.6264637927
108.75,31.7986905497
109,31.9696008087
109.25,32.1406704541
109.5,32.3119040182
109.75,32.4596542066
110,32.582384041
110.25,32.7288904016
110.5,32.8770094426
110.75,33.0000517316
111,33.1231897036
111.25,33.2211760698
111.5,33.3444900822
111.75,33.4426186218
112,33.5422998132
112.25,33.6405589748
112.5,33.7388842639
112.75,33.8134176761
113,33.8879899194
113.25,33.962601374
113.5,34.0372524211
113.75,34.1104492283
114,34.1612616014
114.25,34.234524262
114.5,34.2853826891
114.75,34.3587122414
115,34.4081199566
115.25,34.4590439584
115.5,34.5084888314
115.75,34.5579521749
116,34.6074341007
116.25,34.6569347205
116.5,34.6824423722
116.75,34.7319715302
117,34.7815196645
117.25,34.8070519037
117.5,34.8325892242
117.75,34.8821762329
118,34.9062253658
118.25,34.9573449105
118.5,34.981408318
118.75,35.0069807229
119,35.0566361385
119.25,35.0822238886
119.5,35.1063112707
119.75,35.1319092224
120,35.1560062335
120.25,35.1816144454
120.5,35.2057211409
120.75,35.2313396719
121,35.2313396719
121.25,35.2569635418
121.5,35.3067192944
121.75,35.3308505928
122,35.3308505928
122.25,35.3821454997
122.5,35.3821454997
122.75,35.4062917889
123,35.4319525073
123.25,35.4561087607
123.5,35.4561087607
123.75,35.4817800956
124,35.5316283801
124.25,35.5316283801
124.5,35.5573159142
124.75,35.5573159142
125,35.6071957767
125.25,35.6071957767
125.5,35.6071957767
125.75,35.6328996468
126,35.6570966266
126.25,35.6570966266
126.5,35.6828113536
126.75,35.6828113536
127,35.7070185798
127.25,35.7327442237
127.5,35.7327442237
127.75,35.7584755149
128,35.7826983737
128.25,35.7826983737
128.5,35.8084406727
128.75,35.8326739201
129,35.8326739201
129.25,35.8584272872
129.5,35.88267098
129.75,35.88267098
130,35.9084354755
130.25,35.9084354755
130.5,35.9342057273
130.75,35.9342057273
131,35.9584653548
131.25,35.9842468267
131.5,35.9842468267
131.75,36.0085170426
132,36.0085170426
132.25,36.0343097951
132.5,36.0601083824
132.75,36.0601083824
133,36.0601083824
133.25,36.0843947504
133.5,36.0843947504
133.75,36.0843947504
134,36.1102047105
134.25,36.1102047105
134.5,36.1345018108
134.75,36.1345018108
135,36.1603232044
135.25,36.1603232044
135.5,36.1861505119
135.75,36.1861505119
136,36.2104639827
136.25,36.2104639827
136.5,36.2363028163
136.75,36.2363028163
137,36.260627164
137.25,36.260627164
137.5,36.2864775849
137.75,36.2864775849
138,36.3123339989
138.25,36.3123339989
138.5,36.3123339989
138.75,36.3366749367
139,36.3366749367
139.25,36.362543031
139.5,36.362543031
139.75,36.362543031
140,36.3868949909
140.25,36.3868949909
140.5,36.4127748271
140.75,36.4127748271
141,36.4127748271
141.25,36.4386607361
141.5,36.4386607361
141.75,36.4630295068
142,36.4630295068
142.25,36.4630295068
142.5,36.4630295068
142.75,36.488927251
143,36.488927251
143.25,36.5133071899
143.5,36.5133071899
143.75,36.5133071899
144,36.5392168313
144.25,36.5133071899
144.5,36.5392168313
144.75,36.5392168313
145,36.5651326257
145.25,36.5651326257
145.5,36.5651326257
145.75,36.5651326257
146,36.5895295971
146.25,36.5895295971
146.5,36.5651326257
146.75,36.5895295971
147,36.6154573826
147.25,36.5895295971
147.5,36.6154573826
147.75,36.6154573826
148,36.6154573826
148.25,36.6154573826
148.5,36.6398656689
148.75,36.6398656689
149,36.6398656689
149.25,36.6398656689
149.5,36.6398656689
149.75,36.6658055076
150,36.6658055076
150.25,36.6658055076
150.5,36.6398656689
150.75,36.6658055076
151,36.6658055076
151.25,36.6902251674
151.5,36.6902251674
151.75,36.6902251674
152,36.6398656689
152.25,36.5651326257
152.5,36.1861505119
152.75,34.8325892242
153,33.0727359641
153.25,31.3588577932
153.5,29.8038165593
153.75,28.4507118512
154,27.2455652838
154.25,26.1872435508
154.5,25.2496139875
154.75,24.4072698152
155,23.6366268934
155.25,22.9375266753
155.5,22.3333133343
155.75,21.7527387669
156,21.2425930991
156.25,20.7327968656
